sl. No.,Medical Shop Name,Latitude,Longitude,Side of Kolkata,Area
1,Lifeline Pharmacy,22.62011,88.436777,North,Rajarhat-baguiati
2,Health and Vision Pharmacy,22.62232,88.438869,North,Rajarhat-baguiati
3,Apollo Pharmacy Teghoria Main Rd,22.62159,88.435699,North,Rajarhat-baguiati
4,SPANDAN HOSPITAL,22.620723,88.432914,North,Rajarhat-baguiati
5,MedPlus Jangra Kali Mandir,22.616673,88.434032,North,Rajarhat-baguiati
6,Charnock Hospital,22.626015,88.434766,North,Chinnarpark-newtown
7,MediKol Pharmacy,22.626635,88.438754,North,Chinarpark
8,Avenue Nursing Home,22.620763,88.429712,North,Baguiati
9,"ILS Hospitals, Dumdum",22.624599,88.41712,North,Dumdum
10,MedPlus Satgachi,22.620978,88.420913,North,Dumdum
11,Apollo Pharmacy Arjunpur Bazar,22.620101,88.42334,North,Dumdum
12,Apollo Pharmacy Raghunathpur,22.6214,88.431213,North,Baguiati
13,Satyadeep Medical Hall,22.635849,88.422458,North,Dumdum
14,Sandhya Medical Hall,22.64814,88.407392,North,North dumdum
15,Akshoy Medical Store,22.627296,88.39811,North,Dumdum
16,Baranagar State General Hospital,22.638599,88.380364,North,Baranagar
17,MedPlus Bangalaxmi Bazaar,22.638867,88.381222,North,Baranagar
18,B.S. PHARMED,22.638988,88.382836,North,Baranagar
19,Bonhoogly Hospital,22.643048,88.383078,North,Baranagar
20,Astha Nursing Home,22.630026,88.378804,North,Sinthee/Dunlop
21,Apollo Pharmacy Sinthi,22.630641,88.382913,North,Sinthee/Dunlop
22,Living Healthy 24 - Pharmacy,22.611742,88.40711,North,Laketown
23,Medicplus,22.611059,88.408859,North,Laketown
24,Bangur Medical Center,22.610821,88.408432,North,Laketown
25,Davaindia Prime,22.610931,88.40949,North,Bangur
26,1Med - Bangur,22.610362,88.409627,North,Bangur
27,Ganga Pharmacy,22.611152,88.418805,North,Dumdum Park
28,VIP APEX MEDICAL CENTRE PVT LTD,22.612754,88.42962,North,Baguiati
29,Goodace Hospital,22.602367,88.423108,North,Kestopur
30,Apollo Pharmacy Lake Town,22.601262,88.406097,North,Laketown
31,Metro Pharma,22.598456,88.399827,North,Laketown
32,Dafodil Hospital,22.600765,88.405006,North,Laketown
33,Frankross Pharmacy Park View Hospital,22.596408,88.400331,North,Laketownn
34,"ESI HOSPITAL, MANICKTALA",22.586324,88.39262,North,Maniktala
35,Saha Medical Stores,22.584686,88.390142,North,Kakurgachi
36,RG KAR MEDICAL COLLEGE,22.604601,88.37827,North,Shyambazar
37,Eskag Sanjeevani Multispecialty Hospital,22.604273,88.367733,North,Baghbazar
38,Dreamland Pharmacy,22.599944,88.372039,North,Shyambazar
39,Sterling Hospital,22.600191,88.367635,North,Shyambazar
40,Shyambazar Medical Stores,22.5988,88.3729,North,shyambazar
41,Apollo Pharmacy BK Paul,22.596108,88.362232,North,Sobhabazar
42,MedPlus Khanna,22.594974,88.374678,North,Khanna
43,J.B. Roy State Ayurvedic Medical College & Hospital,22.598128,88.377418,North,Shyambazar
44,Metro Pharma,22.60076,88.373965,North,Shyambazar
45,Life Line,22.601814,88.373251,North,Shyambazar
46,Baghbazar Drug Hall,22.60317,88.37268,North,Baghbazar
47,Nag Medical stores,22.594763,88.35842,North,Ahiritola
48,Medi Pharma,22.592381,88.357708,North,Ahiritola
49,Apollo pharmacy Jorabagan,22.591667,88.359756,North,Ahiritola
50,Kundu pharmacy,22.590248,88.358335,North,Jorabagan
51,Charnock Lohia Hospital,22.58808,88.358876,central,barabazar
52,Apollo Pharmacy sreemani market,22.58555,88.367074,North,Machuabazar
53,"ESI HOSPITAL, MANICKTALA",22.585872,88.392603,North,Maniktala
54,Apollo Pharmacy Ultadanga,22.591859,88.39286,North,Maniktala
55,MedPlus Ultadanga,22.590919,88.391592,North,Maniktala
56,"ILS Hospitals, Salt lake",22.594071,88.410879,East,Salt Lake
57,Bidhannagar Sub-Divisional Hospital,22.591103,88.410682,East,Salt Lake
58,Salt Lake Sector 3 Pharmacy,22.5872,88.4143,East,Salt lake
59,Parkview Super Speciality Hospital,22.575953,88.417135,East,Salt Lake
60,Anandalok Hospital,22.584803,88.423094,East,Salt Lake
61,Calcutta Medicine Centre,22.578947,88.361336,Central,College Street
62,Omkar Medical Stores,22.577046,88.353421,Central,Bara bazar
63,Kanhaiya Life Care Medicine,22.576242,88.353569,Central,Bara bazar
64,Calcutta School Of Tropical Medicine (STM),22.575044,88.359921,Central,College street
65,Frank Ross Pharmacy — College Street,22.5749,88.3634,Central,College street
66,Medical College Kolkata,22.573249,88.361661,Central,College Street
67,Dhanwantary Medical — Esplanade,22.5637,88.3524,Central,Esplanade
68,Deys Medical Stores Pvt Ltd,22.560485,88.351969,Central,New market
69,Leela Pharmacy,22.565216,88.368359,Central,Sealdah
70,The Globe Pharmacy,22.563912,88.367782,Central,Sealdah
71,KAR MEDICAL STORES,22.563622,88.367742,Central,Sealdah
72,Allied Medical Hall,22.562748,88.367356,Central,Sealdah
73,NRS Medical College (Emergency),22.5644,88.3722,Central,Sealdah
74,Calcutta National Medical College & Hospital,22.546308,88.371271,Central,Beniapukur
75,D.N.De Homoeopathic Medical College & Hospital,22.552025,88.385042,East,Tangra
76,Saharogya Pharmacy,22.575625,88.39138,East,Phoolbagan
77,Medical Stores,22.569775,88.389964,East,Beleghata
78,Beleghata Medical Hall,22.56969,88.390215,East,Beleghata
