Sl No,PANDAL NAME,Latitude,longitude,Side of kolkata,,Area,,
1,Kestopur Prafulla Kanan ,22.604047,88.422649,North,,Kestopur,,
2,BJ Block,22.5913928299804,88.4265535165805,North,,Saltlake,,
3,FD Block,22.5838007946868,88.412035,North,,Saltlake,,
4,AK Block,22.5889725487022,88.430857,North,,Saltlake,,
5,Sreebhumi Sporting Club,22.6007616800673,88.4030583471769,North,,Laketown,,
6,Dum Dum Park Tarun Sangha,22.6100717917365,88.4114974935233,North,,Dumdum Park,,
7,Dum Dum Park Bharat Chakra,22.6108868997213,88.4146123283464,North,,Dumdum Park,,
8,Tala Prattoy,22.6088882488375,88.3826046450469,North,,Shyambazar,,
9,Jagat Mukherjee Park,22.5995564024741,88.3660965014979,North,,Sovabazar,,
10,Bagbazar Sarbojanin,22.604792340875,88.3661787235303,North,,Bagbazar,,
11,Kumartuli Park Sarbojanin,22.5990323156723,88.3614488011405,North,,Sovabazar,,
12,Hatibagan Sarbojanin,22.5944452608448,88.3720047862874,North,,Hatibagan,, 
13,Nalin Sarkar Street,22.5945584887715,88.3743307314056,North,,Hatibagan,,
14,Sova Bazar Rajbari,22.5963040004278,88.3673823778073,North,,Sovabazar,,
15,Ahiritola Sarbojanin,22.5948595608287,88.3571959266636,North,,Shyambazar,,
16,Chaltabagan Lohapatty,22.5845718976641,88.3721863691219,North,,Manicktala,,
17,Santosh Mitra Square,22.5660993387884,88.3656746532681,North,,Sealdah,,
18,Sealdah Athletic Club,22.5706012938099,88.3719343660786,North,,Sealdah,,
19,College Sqaure,22.574666574661,88.3646011416214,North,,Sealdah,,
20,MD Ali Park,22.577327471981,88.3606617937507,North,,Girish Park,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
